[12/12/2025, 03:05:48] Yo: [Archivo adjunto]
[14/05/2026, 23:48:07] Yo: [Archivo adjunto]
[15/05/2026, 16:51:42] Betty Mamá Rodrigo: ✨❤️
[15/05/2026, 16:54:20] Betty Mamá Rodrigo: ❤️✨
[15/05/2026, 17:36:10] Betty Mamá Rodrigo: My ✨❤️
[15/05/2026, 17:36:43] Betty Mamá Rodrigo: ❤️
[15/05/2026, 17:37:13] Betty Mamá Rodrigo: [Archivo adjunto]
[15/05/2026, 17:37:32] Betty Mamá Rodrigo: [Archivo adjunto]
[15/05/2026, 17:37:49] Betty Mamá Rodrigo: 🎉
[15/05/2026, 22:47:44] Yo: [Archivo adjunto]
[16/05/2026, 05:04:31] Yo: [Archivo adjunto]
[16/05/2026, 05:10:16] Yo: [Archivo adjunto]
[16/05/2026, 05:58:23] Yo: [Archivo adjunto]
[16/05/2026, 22:40:51] Yo: [Archivo adjunto]
[17/05/2026, 18:29:14] Yo: [Archivo adjunto]
[18/05/2026, 05:19:44] Yo: [Archivo adjunto]
